time_min,LituBD5_mass,LituLD2_mass,LituBL2t_mass,LituLL21_mass
1244,5.7421,1.8626,4.373410912,1.1183
1248,5.7421,1.8529,4.47075862,1.1138
1252,5.6695,1.8774,4.401525697,1.1310
1256,5.6331,1.8394,4.448793915,1.1406
1260,5.6876,1.7812,4.428059188,1.1787
1264,5.6331,1.8271,4.382372451,1.1523
1268,5.6150,1.8554,4.429289167,1.1684
1272,5.7602,1.8475,4.334928575,1.1576
1276,5.7602,1.8090,4.475854567,1.1377
1280,5.7421,1.7904,4.462148584,1.1506
1284,5.6695,1.8171,4.351797522,1.1023
1288,5.6876,1.7915,4.383075269,1.1349
1292,5.6876,1.8499,4.25304399,1.1786
1296,5.7421,1.7786,4.424369065,1.1561
1300,5.7602,1.8342,4.403282835,1.1437
1304,5.6331,1.8398,4.3435388,1.1279
1308,5.7239,1.7817,4.43016783,1.1624
1312,5.6331,1.8219,4.255855449,1.1853
1316,5.6876,1.8053,4.311030886,1.1339
1320,5.6876,1.8875,4.336158554,1.1243
1324,5.6695,1.7779,4.251989669,1.1037
1328,5.6331,1.7865,4.4018772,1.1227
1332,5.6513,1.7965,4.534895785,1.1559
1336,5.6150,1.8682,4.323155388,1.1538
1340,5.6876,1.8003,4.412596066,1.1440
1344,5.6513,1.7651,4.393969793,1.0865
1348,5.6150,1.7609,4.460391257,1.1317
1352,5.5968,1.8092,4.460215599,1.1246
1356,5.5787,1.7944,4.481125983,1.1107
1360,5.5968,1.8389,4.263762667,1.1339
1364,5.6331,1.7637,4.390631173,1.0881
1368,5.5787,1.8414,4.393794136,1.1485
1372,5.6513,1.8339,4.452308192,1.0949
1376,5.6331,1.7788,4.335280079,1.1021
1380,5.5968,1.7738,4.386589735,1.0776
1384,5.5968,1.7974,4.294513443,1.1782
1388,5.6513,1.7779,4.352324682,1.0673
1392,5.5968,1.7992,4.361637725,1.0625
1396,5.6331,1.7749,4.31911395,1.0887
1400,5.6513,1.7432,4.387819713,1.0977
1404,5.6150,1.9081,4.332117116,1.0743
1408,5.5968,1.7640,4.275360198,1.0743
1412,5.5424,1.7747,4.338970013,1.0659
1416,5.6331,1.7808,4.321749753,1.0568
1420,5.5968,1.7854,4.385886917,1.0868
1424,5.6150,1.7747,4.256733924,1.0781
1428,5.5424,1.7065,4.436493567,1.0485
1432,5.5787,1.8009,4.306110785,1.0657
1436,5.5968,1.8044,4.337740035,1.0496
1440,5.5787,1.7541,4.350391698,1.0554
1444,5.5605,1.7677,4.228794797,1.0343
1448,5.5605,1.7099,4.337740035,1.0786
1452,5.5605,1.7596,4.35355466,1.1128
1456,5.6150,1.7519,4.32860265,1.0683
1460,5.4879,1.7502,4.303650828,1.0461
1464,5.5787,1.7714,4.427004867,1.0396
1468,5.5787,1.7395,4.293986283,1.0578
1472,5.4697,1.7723,4.289768999,
1476,5.5968,1.7685,4.353730318,
1480,5.5605,1.7565,4.291174823,
1484,5.5787,1.7546,4.233714898,
1488,5.4516,1.7216,4.359353425,
1492,5.6150,1.7666,4.290471817,
1496,5.5061,1.7469,4.328075489,
1500,5.5787,1.7898,4.386765392,
1504,5.5242,1.7629,4.299257699,
1508,5.5061,1.7587,4.480950326,
1512,5.5424,1.7438,4.199625691,
1516,5.5061,1.7373,4.277117336,
1520,5.5061,1.7784,4.299082041,
1524,5.5605,1.7526,4.301015026,
1528,5.5061,1.7139,4.263235507,
1532,5.4697,1.8018,4.32579119,
1536,5.5061,1.7865,4.314721009,
1540,5.4879,1.7325,4.211750193,
1544,5.5605,1.7620,4.278874475,
1548,5.5242,1.7539,4.330008474,
1552,5.5605,1.7310,4.241095145,
1556,5.4879,1.7545,4.372532248,
1560,5.4879,1.7246,4.289944656,
1564,5.4334,1.6940,4.191718284,
1568,5.5242,1.7428,4.278874475,
1572,5.3790,1.7688,4.264992834,
1576,5.4879,1.7279,4.276941679,
1580,5.4334,1.7707,4.244960925,
1584,5.4334,1.7393,4.287133196,
1588,5.5242,1.7491,4.224577513,
1592,5.4334,1.7117,4.209993055,
1596,5.4334,1.7530,4.159561873,
1600,5.5061,1.7902,4.224753359,
1604,5.5061,1.6881,4.25690977,
1608,5.3790,1.8256,4.203315626,
1612,5.4153,1.7216,4.174673681,
1616,5.4516,1.7423,4.227740476,
1620,5.5242,1.7460,4.188204007,
1624,5.5061,1.7228,4.217373113,
1628,5.4697,1.6953,4.260424047,
1632,5.4334,1.6911,4.250935348,
1636,5.5061,1.6763,4.292404801,
1640,5.4697,1.7036,4.158859056,
1644,5.3971,1.7012,4.273427213,
1648,5.4334,1.7100,4.249002363,
1652,5.4879,1.6946,4.182405242,
1656,5.5061,1.7633,4.324209709,
1660,5.4153,1.7165,4.232133417,
1664,5.4516,1.6911,4.286078876,
1668,5.4879,1.7235,4.231430599,
1672,5.4697,1.7102,4.220536075,
1676,5.4697,1.7286,4.197868364,
1680,5.4334,1.7167,4.214385996,
1684,5.5605,1.6850,4.314896667,
1688,5.4153,1.7351,4.230376278,
1692,5.4153,1.7156,4.23582354,
1696,5.4334,1.6780,4.225631834,
1700,5.5242,1.7016,4.255855449,
1704,5.4334,1.6551,4.169929237,
1708,5.4516,1.6841,4.179945097,
1712,5.4516,1.6745,4.185392359,
1716,5.4697,1.6691,4.238635,
1720,5.4516,1.7065,4.183811066,
1724,5.4879,1.6992,4.236175043,
1728,5.5061,1.6524,4.141462949,
1732,5.4697,1.6500,4.376222372,
1736,5.4153,1.6946,4.149721671,
1740,5.4697,1.6570,4.267979951,
1744,5.4153,1.6859,4.21421015,
1748,5.4516,1.6798,4.189433985,
1752,5.4334,1.6997,4.304529303,
1756,5.4334,1.6675,4.181526578,
1760,5.4516,1.6820,4.236350701,
1764,5.4516,1.6459,4.154993275,
1768,5.4334,1.6616,4.204369947,
1772,5.4153,1.6876,4.121079537,
1776,5.4697,1.6656,4.167644938,
1780,5.4516,1.6678,4.184689541,
1784,5.4516,1.6564,4.230376278,
1788,5.4334,1.5821,4.230903439,
1792,5.5061,1.7368,4.221414739,
1796,5.3608,1.6995,4.117038099,
1800,5.4153,1.6922,4.153411794,
1804,5.4334,1.6396,4.239689321,
